title,rating,qtd_votes,movie_url
Glória Feita de Sangue,8.4,212K,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_63
Vingadores: Guerra Infinita,8.4,1.2M,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_64
Homem-Aranha: No Aranhaverso,8.4,669K,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_65
Testemunha de Acusação,8.4,138K,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66
O Iluminado,8.4,1.1M,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67
O Grande Ditador,8.4,237K,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68
"Aliens, O Resgate",8.4,762K,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69
Bastardos Inglórios,8.4,1.6M,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70
Batman: O Cavaleiro das Trevas Ressurge,8.4,1.8M,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71
Dr,8.4,517K,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72
Beleza Americana,8.3,1.2M,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_73
Oldboy,8.3,634K,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_74
Viva - A Vida é uma Festa,8.4,589K,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_75
Amadeus,8.4,427K,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_76
Toy Story,8.3,1.1M,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_77
O Barco: Inferno no Mar,8.4,264K,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_78
Vingadores: Ultimato,8.4,1.3M,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_79
Coração Valente,8.3,1.1M,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80
Coringa,8.4,1.5M,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_81
Princesa Mononoke,8.3,433K,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82
Gênio Indomável,8.3,1.1M,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_83
Your Name,8.4,319K,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84
Era uma Vez na América,8.3,377K,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_85
